Kód produktu;Název;Nákupní cena;Prodejní cena;Mare Kè;Mare %;Multishop
138212/279569;Kovové rohy na kabelky a doplòky;14.0;26.4;12.4;46.97;45
138213/107252;Kovové rohy na kabelky a doplòky;70.0;85.9;15.9;18.51;20
138213/279569;Kovové rohy na kabelky a doplòky;70.0;85.9;15.9;18.51;20
138214/107252;Kovové rohy na kabelky a doplòky;210.0;232.3;22.3;9.6;10
138214/279569;Kovové rohy na kabelky a doplòky;210.0;232.3;22.3;9.6;10
120099/163877;Sada zapínání na kabelku 30x32 mm srdce;381.3;419.3;38.0;9.06;10
120099/204059;Sada zapínání na kabelku 30x32 mm srdce;355.8;391.3;35.5;9.07;10
120099/223856;Sada zapínání na kabelku 30x32 mm srdce;279.6;307.5;27.9;9.07;10
120099/261274;Sada zapínání na kabelku 30x32 mm srdce;279.6;307.5;27.9;9.07;10
61588/163877;Sada zapínání na kabelku 30x32 mm srdce;25.42;61.4;35.98;58.6;60
61588/204059;Sada zapínání na kabelku 30x32 mm srdce;23.72;57.3;33.58;58.6;60
61588/223856;Sada zapínání na kabelku 30x32 mm srdce;18.64;45.0;26.36;58.58;60
61588/261274;Sada zapínání na kabelku 30x32 mm srdce;18.64;45.0;26.36;58.58;60
62457/163877;Sada zapínání na kabelku 30x32 mm srdce;127.1;199.7;72.6;36.35;35
62457/204059;Sada zapínání na kabelku 30x32 mm srdce;118.6;186.3;67.7;36.34;35
62457/223856;Sada zapínání na kabelku 30x32 mm srdce;93.2;146.4;53.2;36.34;35
62457/261274;Sada zapínání na kabelku 30x32 mm srdce;93.2;146.4;53.2;36.34;35
120315/163756;Sada zapínání na tašku 33x41 mm;367.5;404.4;36.9;9.12;10
120315/239189;Sada zapínání na tašku 33x41 mm;510.0;0.0;-510.0;0;0
120315/276737;Sada zapínání na tašku 33x41 mm;367.5;404.4;36.9;9.12;10
61589/163756;Sada zapínání na tašku 33x41 mm;24.5;69.0;44.5;64.49;65
61589/239189;Sada zapínání na tašku 33x41 mm;54.45;92.0;37.55;40.82;40
61589/276737;Sada zapínání na tašku 33x41 mm;24.5;69.0;44.5;64.49;65
62339/163756;Sada zapínání na tašku 33x41 mm;122.5;224.6;102.1;45.46;45
62339/239189;Sada zapínání na tašku 33x41 mm;230.0;0.0;-230.0;0;0
62339/276737;Sada zapínání na tašku 33x41 mm;122.5;224.6;102.1;45.46;45
104422/138169;"Plastové patentky / stiskací knoflíky mini vel. 16""";204.0;319.4;115.4;36.13;35
104422/149015;"Plastové patentky / stiskací knoflíky mini vel. 16""";0.0;0.0;0.0;0;0
104422/192701;"Plastové patentky / stiskací knoflíky mini vel. 16""";0.0;0.0;0.0;0;0
104422/209337;"Plastové patentky / stiskací knoflíky mini vel. 16""";204.0;319.4;115.4;36.13;35
43191/138169;"Plastové patentky / stiskací knoflíky mini vel. 16""";680.0;750.2;70.2;9.36;10
43191/149015;"Plastové patentky / stiskací knoflíky mini vel. 16""";0.0;0.0;0.0;0;0
43191/209337;"Plastové patentky / stiskací knoflíky mini vel. 16""";680.0;750.2;70.2;9.36;10
47452/138169;"Plastové patentky / stiskací knoflíky mini vel. 16""";34.0;81.7;47.7;58.38;60
47452/138170;"Plastové patentky / stiskací knoflíky mini vel. 16""";0.0;0.0;0.0;0;0
47452/138171;"Plastové patentky / stiskací knoflíky mini vel. 16""";75.02;82.0;6.98;8.51;10
47452/145300;"Plastové patentky / stiskací knoflíky mini vel. 16""";75.02;82.0;6.98;8.51;10
47452/149015;"Plastové patentky / stiskací knoflíky mini vel. 16""";48.4;82.0;33.6;40.98;40
47452/192643;"Plastové patentky / stiskací knoflíky mini vel. 16""";75.02;82.0;6.98;8.51;10
47452/192701;"Plastové patentky / stiskací knoflíky mini vel. 16""";48.4;82.0;33.6;40.98;40
47452/209337;"Plastové patentky / stiskací knoflíky mini vel. 16""";34.0;81.7;47.7;58.38;60
47452/228468;"Plastové patentky / stiskací knoflíky mini vel. 16""";75.02;82.0;6.98;8.51;10
109596/138176;"Plastové patentky / stiskací knoflíky vel. 20""";102.0;123.4;21.4;17.34;15
109596/138177;"Plastové patentky / stiskací knoflíky vel. 20""";102.0;123.4;21.4;17.34;15
109596/138178;"Plastové patentky / stiskací knoflíky vel. 20""";112.0;135.5;23.5;17.34;15
109596/138179;"Plastové patentky / stiskací knoflíky vel. 20""";102.0;123.4;21.4;17.34;15
109596/138181;"Plastové patentky / stiskací knoflíky vel. 20""";102.0;123.4;21.4;17.34;15
109596/145291;"Plastové patentky / stiskací knoflíky vel. 20""";102.0;123.4;21.4;17.34;15
109596/151840;"Plastové patentky / stiskací knoflíky vel. 20""";130.0;157.3;27.3;17.36;15
109596/171962;"Plastové patentky / stiskací knoflíky vel. 20""";130.0;157.3;27.3;17.36;15
109596/171963;"Plastové patentky / stiskací knoflíky vel. 20""";200.0;0.0;-200.0;0;0
109596/171964;"Plastové patentky / stiskací knoflíky vel. 20""";102.0;123.4;21.4;17.34;15
109596/197386;"Plastové patentky / stiskací knoflíky vel. 20""";102.0;123.4;21.4;17.34;15
109596/197445;"Plastové patentky / stiskací knoflíky vel. 20""";120.0;147.6;27.6;18.7;20
109596/197498;"Plastové patentky / stiskací knoflíky vel. 20""";102.0;123.4;21.4;17.34;15
109596/209446;"Plastové patentky / stiskací knoflíky vel. 20""";102.0;123.4;21.4;17.34;15
109596/236132;"Plastové patentky / stiskací knoflíky vel. 20""";200.0;0.0;-200.0;0;0
109596/236133;"Plastové patentky / stiskací knoflíky vel. 20""";132.0;181.5;49.5;27.27;25
109596/236134;"Plastové patentky / stiskací knoflíky vel. 20""";102.0;123.4;21.4;17.34;15
109596/249773;"Plastové patentky / stiskací knoflíky vel. 20""";200.0;0.0;-200.0;0;0
43192/138176;"Plastové patentky / stiskací knoflíky vel. 20""";510.0;556.6;46.6;8.37;10
43192/138177;"Plastové patentky / stiskací knoflíky vel. 20""";510.0;556.6;46.6;8.37;10
43192/138178;"Plastové patentky / stiskací knoflíky vel. 20""";510.0;556.6;46.6;8.37;10
43192/138179;"Plastové patentky / stiskací knoflíky vel. 20""";510.0;556.6;46.6;8.37;10
43192/138181;"Plastové patentky / stiskací knoflíky vel. 20""";510.0;556.6;46.6;8.37;10
43192/145291;"Plastové patentky / stiskací knoflíky vel. 20""";510.0;556.6;46.6;8.37;10
43192/151840;"Plastové patentky / stiskací knoflíky vel. 20""";560.0;605.0;45.0;7.44;5
